epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
314,-0.788,-0.7695,0.8558,122.26
315,-0.7835,-0.7845,0.849175,122.11
316,-0.7904,-0.8012,0.8652625,122.12
317,-0.7844,-0.7962,0.8717874999999999,122.34
318,-0.7982,-0.7763,0.856175,122.43
319,-0.7899,-0.7862,0.875275,122.39
320,-0.7876,-0.7789,0.8574625,122.11
321,-0.7896,-0.8001,0.8691,122.12
322,-0.7897,-0.7768,0.8506875,122.13
323,-0.7846,-0.7879,0.8717874999999999,122.12
324,-0.79,-0.7868,0.86915,122.09
325,-0.7895,-0.7853,0.856075,122.14
326,-0.7905,-0.8081,0.875625,122.43
327,-0.7972,-0.8183,0.88315,122.42
328,-0.8002,-0.7739,0.837375,122.35
329,-0.7844,-0.7792,0.861,122.08
330,-0.7872,-0.7992,0.8772375,122.11
331,-0.8007,-0.7946,0.8742875,122.21
332,-0.7885,-0.7857,0.85195,122.41
333,-0.803,-0.802,0.8786625,122.31
334,-0.7994,-0.7654,0.8582875,122.24
335,-0.7884,-0.7843,0.85615,122.07
336,-0.7878,-0.7789,0.8698,122.03
337,-0.7826,-0.7917,0.864475,122.08
338,-0.7918,-0.7956,0.877175,122.08
339,-0.7828,-0.8181,0.8791375,122.07
340,-0.7937,-0.7826,0.86895,122.29
341,-0.7904,-0.8161,0.879775,122.45
342,-0.7978,-0.7894,0.869125,122.41
343,-0.803,-0.7993,0.8845625,122.24
344,-0.7968,-0.8046,0.8713125,122.1
345,-0.8074,-0.788,0.8539875,122.11
346,-0.7942,-0.8017,0.8816375,122.35
347,-0.7971,-0.7866,0.862375,122.37
348,-0.7988,-0.768,0.8586,122.42
349,-0.7906,-0.7706,0.8611,122.13
350,-0.7916,-0.7824,0.859075,122.1
351,-0.789,-0.7886,0.8822875,122.16
352,-0.7895,-0.8255,0.885375,122.11
353,-0.7906,-0.8024,0.873875,122.16
354,-0.7945,-0.7884,0.86685,122.16
355,-0.7932,-0.8097,0.8707125,122.44
356,-0.7916,-0.7879,0.86195,122.38
357,-0.792,-0.7923,0.8782375,122.33
358,-0.8024,-0.7904,0.875075,122.13
359,-0.7777,-0.7878,0.8694625,122.07
360,-0.7979,-0.8035,0.879175,122.22
361,-0.7903,-0.7896,0.85225,122.43
362,-0.7813,-0.773,0.8611,122.4
363,-0.7807,-0.8002,0.8709375,122.27
364,-0.7833,-0.7789,0.8731375,122.05
365,-0.7908,-0.7763,0.8499625,122.09
366,-0.7926,-0.8157,0.877625,122.16
367,-0.8053,-0.7569,0.852225,122.11
368,-0.7935,-0.8075,0.8791125,122.1
369,-0.7905,-0.8012,0.882,122.37
370,-0.8045,-0.8004,0.88155,122.36
371,-0.7956,-0.7894,0.8729,122.34
372,-0.785,-0.7891,0.8656874999999999,122.17
373,-0.8008,-0.7662,0.8557,122.14
374,-0.7972,-0.7896,0.875775,122.15
375,-0.7927,-0.7891,0.8632624999999999,122.44
376,-0.7937,-0.7761,0.86485,122.48
377,-0.7937,-0.7882,0.8665125,122.42
378,-0.7979,-0.7668,0.847575,122.15
379,-0.7968,-0.8072,0.886025,122.12
380,-0.7948,-0.8036,0.8755625,122.15
381,-0.8042,-0.7893,0.8737375000000001,122.13
382,-0.7987,-0.784,0.8674625,122.11
383,-0.7811,-0.7949,0.8698,122.24
384,-0.7972,-0.8094,0.889175,122.44
385,-0.8035,-0.7878,0.8638750000000001,122.4
386,-0.8029,-0.7838,0.8735999999999999,122.32
387,-0.7989,-0.777,0.869225,122.12
388,-0.803,-0.791,0.8619749999999999,122.12
389,-0.8029,-0.8002,0.8633875,122.26
390,-0.7923,-0.8027,0.8815500000000001,122.41
391,-0.7914,-0.793,0.849725,122.35
392,-0.8034,-0.7956,0.871075,122.23
393,-0.8137,-0.7963,0.8776125,122.14
394,-0.792,-0.7999,0.8764500000000001,122.07
395,-0.8041,-0.8003,0.8761625,122.11
396,-0.8132,-0.8078,0.8789875,122.11
397,-0.8072,-0.7953,0.879925,122.34
398,-0.8063,-0.7971,0.87605,122.64
399,-0.8027,-0.8107,0.8817875,122.64
400,-0.8067,-0.7918,0.8701749999999999,122.58
401,-0.803,-0.7912,0.8719375,122.12
402,-0.7973,-0.786,0.87305,122.1
403,-0.7995,-0.798,0.8738875,122.25
404,-0.8074,-0.8002,0.87395,122.42
405,-0.7971,-0.7952,0.874775,122.34
406,-0.7966,-0.8022,0.8759875,122.27
407,-0.8085,-0.8112,0.8775000000000001,122.34
408,-0.7992,-0.799,0.87875,122.13
409,-0.8128,-0.809,0.8823624999999999,122.11
410,-0.8003,-0.8135,0.8842375,122.13
411,-0.801,-0.7772,0.8451500000000001,122.07
412,-0.8005,-0.7982,0.8695625,122.37
413,-0.7963,-0.7921,0.875375,122.4
414,-0.8077,-0.8156,0.8817625,122.39
415,-0.8134,-0.8092,0.8766375,122.16
416,-0.7979,-0.8001,0.8751,122.08
417,-0.8022,-0.7904,0.8737375,122.12
418,-0.8004,-0.7878,0.8736125,122.4
419,-0.8022,-0.7988,0.8790625,122.39
420,-0.8026,-0.79,0.8551375,122.33
421,-0.7969,-0.7856,0.8750375,122.12
422,-0.7931,-0.7844,0.8586875,122.12
423,-0.8028,-0.7711,0.8643,122.12
424,-0.8007,-0.7905,0.86205,122.1
425,-0.8031,-0.8114,0.8786875,122.1
426,-0.7895,-0.7897,0.86565,122.22
427,-0.7915,-0.7944,0.8743624999999999,122.42
428,-0.8023,-0.7949,0.8666375,122.39
429,-0.8048,-0.7911,0.8706625,122.25
430,-0.8029,-0.8135,0.8836125,122.06
